DATEE,NETWORTH
20210217,420260.6626
20210218,478079.5582
20210219,430175.9376
20210220,422341.7976
20210221,394879.888
20210222,390671.5817
20210223,398161.3383
20210224,403432.9544
20210225,386548.0533
20210226,497790.5732
20210227,505360.3263
20210228,448460.2564
20210301,402763.4358
20210302,450940.6383
20210303,469673.4892
20210304,421971.1778
20210305,404526.4851
20210306,418075.5628
20210307,400279.3759
20210308,398845.5689
20210309,380217.541
20210310,479570.2516
20210311,404476.5256
20210312,409808.4609
20210313,506528.9495
20210314,461595.2526
20210315,452378.0007
20210316,387164.1796
20210317,405623.3873
20210318,437035.1624
20210319,794578.6916
20210320,376383.4712
20210321,395606.7834
20210322,397280.5186
20210323,387653.0471
20210324,414839.2293
20210325,392810.3387
20210326,354458.4499
20210327,382313.9397
20210328,408874.065
20210329,434040.8413
20210330,415517.0234
20210331,385934.8694
20210401,396723.6081
20210402,381292.6204
20210403,410811.2676
20210404,397191.6336
20210405,403600.1808
20210406,404083.47
20210407,389775.9887
20210408,370575.9705
20210409,357150.4123
20210410,364990.4984
20210411,377650.7261
20210412,438972.6715
20210413,448181.0962
20210414,424122.6239
20210415,308782.812
20210416,388383.8044
20210417,383019.0123
20210418,379316.3697
20210419,357039.8884
20210420,406076.5782
20210421,415588.1927
20210422,401502.74
20210423,366648.173
20210424,370304.7793
20210425,358155.3645
20210426,354706.5652
20210427,401281.8761
20210428,446151.0854
20210429,397783.6077
20210430,374479.7384
20210501,367975.6245
20210502,338858.4923
20210503,340743.7125
20210504,353018.731
20210505,377754.4457
20210506,375900.5498
20210507,378933.6125
20210508,354307.1957
20210509,343775.4266
20210510,347583.5665
20210511,378729.6674
20210512,421638.1349
20210513,399963.2518
20210514,410830.148
20210515,332017.5962
20210516,317100.4251
20210517,316268.4002
20210518,414447.2158
20210519,393462.0803
20210520,418416.0843
20210521,412124.1297
20210522,419767.6267
20210523,332247.839
20210524,358650.4233
20210525,335520.5234
20210526,380060.7356
20210527,328901.5946
20210528,464617.5265
20210529,349713.0672
20210530,337913.185
20210531,391436.9122
20210601,328243.7843
20210602,328545.0125
20210603,314566.4057
20210604,333796.5835
20210605,372496.4382
20210606,343726.1414
20210607,339073.7166
20210608,336134.6268
20210609,338666.1329
20210610,335717.6029
20210611,373016.9978
20210612,366972.5726
20210613,368523.8304
20210614,362194.2376
20210615,369120.4633
